FORCE/DISPLACEMENT CLAMP EXPERIMENT 
 11/17/2015 
 
 Experiment Name: 	 Default 
 Cantilever ID #: 	 Default 
 Sampling rate (Hz): 	 1000 
 Actuation Mode: 	 Disp. Clamp 
 
 Set Point (um) 	 Actuator Position (um) 	 Piezo Position (um) 
0.000000	0.007935	-0.006042
0.000000	0.001221	-0.005096
0.000000	-0.010986	-0.005096
0.000000	-0.004883	-0.003174
0.000000	0.014038	-0.005737
0.000000	-0.004883	-0.003815
0.000000	0.001221	-0.002533
0.000000	-0.017700	-0.005096
0.000000	-0.023804	-0.003510
0.000000	0.007935	-0.006683
0.000000	-0.004883	-0.005096
0.000000	-0.004883	-0.002533
0.000000	-0.010986	-0.005096
0.000000	0.001221	-0.005096
0.000000	-0.004883	-0.005096
0.000000	0.007935	-0.007324
0.000000	-0.004883	-0.005402
0.000000	-0.010986	-0.006683
0.000000	0.001221	-0.004120
0.000000	0.001221	-0.006042
0.000000	0.007935	-0.005096
0.000000	-0.004883	-0.004761
0.000000	-0.004883	-0.005096
0.000000	-0.004883	-0.002228
0.000000	0.014038	-0.004120
0.000000	-0.004883	-0.003815
0.000000	-0.010986	-0.004456
0.000000	0.001221	-0.005737
0.000000	-0.004883	-0.004761
0.000000	-0.004883	-0.003815
0.000000	-0.004883	-0.006378
0.000000	-0.017700	-0.004761
0.000000	-0.010986	-0.005096
0.000000	0.007935	-0.005402
0.000000	0.001221	-0.005737
0.000000	0.007935	-0.009552
0.000000	0.001221	-0.004456
0.000000	-0.004883	-0.005402
0.000000	-0.004883	-0.003174
0.000000	-0.004883	-0.002869
0.000000	-0.004883	-0.005737
0.000000	-0.004883	-0.002533
0.000000	-0.004883	-0.002869
0.000000	0.007935	-0.004456
0.000000	-0.017700	-0.004761
0.000000	-0.017700	-0.003510
0.000000	0.007935	-0.004120
0.000000	-0.004883	-0.006378
0.000000	0.020752	-0.004456
0.000000	0.001221	-0.004120
0.000000	0.001221	-0.005096
0.000000	-0.004883	-0.005402
0.000000	0.001221	-0.005096
0.000000	-0.004883	-0.004120
0.000000	0.001221	-0.003510
0.000000	-0.004883	-0.004120
0.000000	0.001221	-0.003815
0.000000	-0.010986	-0.004120
0.000000	0.001221	-0.006378
0.000000	-0.004883	-0.001282
0.000000	0.001221	-0.004761
0.000000	-0.004883	-0.004456
0.000000	0.001221	-0.004761
0.000000	-0.004883	-0.004456
0.000000	0.001221	-0.005402
0.000000	-0.004883	-0.003815
0.000000	0.001221	-0.005402
0.000000	-0.004883	-0.004456
0.000000	-0.004883	-0.009216
0.000000	-0.017700	-0.004761
0.000000	-0.004883	-0.005402
0.000000	-0.010986	-0.003510
0.000000	-0.004883	-0.004761
0.000000	-0.004883	-0.003174
0.000000	-0.004883	-0.005096
0.000000	-0.010986	-0.005096
0.000000	0.020752	-0.006042
0.000000	-0.004883	-0.005402
0.000000	0.007935	-0.006042
0.000000	0.007935	-0.005096
0.000000	0.001221	-0.007965
0.000000	-0.010986	-0.004761
0.000000	0.001221	-0.005402
0.000000	0.001221	-0.004120
0.000000	-0.004883	-0.006378
0.000000	-0.004883	-0.003510
0.000000	-0.004883	-0.003815
0.000000	0.001221	-0.005402
0.000000	-0.004883	-0.006378
0.000000	-0.004883	-0.002869
0.000000	-0.017700	-0.004120
0.000000	-0.017700	-0.002228
0.000000	-0.004883	-0.005737
0.000000	0.001221	-0.004456
0.000000	0.007935	-0.006378
0.000000	-0.004883	-0.005402
0.000000	0.001221	-0.006378
0.000000	-0.004883	-0.005096
0.000000	-0.004883	-0.007324
0.000000	0.007935	-0.003815
0.000000	0.001221	-0.006378
0.000000	-0.017700	-0.005096
0.000000	-0.010986	-0.006378
0.000000	-0.004883	-0.003174
0.000000	0.001221	-0.006378
0.000000	-0.004883	-0.001587
0.000000	0.007935	-0.003815
0.000000	0.001221	-0.002228
0.000000	0.007935	-0.005737
0.000000	-0.010986	-0.001587
0.000000	-0.004883	-0.005402
0.000000	0.001221	-0.005402
0.000000	0.001221	-0.005737
0.000000	0.001221	-0.004120
0.000000	0.014038	-0.007965
0.000000	-0.010986	-0.005096
0.000000	0.001221	-0.004761
0.000000	-0.004883	-0.006683
0.000000	-0.004883	-0.007965
0.000000	-0.010986	-0.004120
0.000000	0.001221	-0.005737
0.000000	-0.010986	-0.002869
0.000000	-0.004883	-0.003815
0.000000	0.007935	-0.004120
0.000000	0.001221	-0.005096
0.000000	0.007935	-0.003815
0.000000	-0.004883	-0.006042
0.000000	0.007935	-0.005402
0.000000	-0.010986	-0.006378
0.000000	0.014038	-0.004456
0.000000	-0.017700	-0.006989
0.000000	-0.004883	-0.004456
0.000000	-0.004883	-0.006683
0.000000	-0.004883	-0.003815
0.000000	0.001221	-0.006378
0.000000	-0.010986	-0.004761
0.000000	0.001221	-0.005737
0.000000	0.001221	-0.005737
0.000000	0.001221	-0.004761
0.000000	-0.004883	-0.002533
0.000000	0.001221	-0.004456
0.000000	-0.017700	-0.005402
0.000000	-0.010986	-0.005402
0.000000	-0.004883	-0.005402
0.000000	-0.004883	-0.004456
0.000000	-0.004883	-0.005737
0.000000	-0.010986	-0.005737
0.000000	-0.004883	-0.005402
0.000000	-0.004883	-0.007324
0.000000	-0.004883	-0.003815
0.000000	-0.017700	-0.005737
0.000000	-0.004883	-0.005096
0.000000	-0.010986	-0.005096
0.000000	-0.004883	-0.002533
0.000000	-0.010986	-0.005737
0.000000	-0.017700	-0.003815
0.000000	-0.004883	-0.004456
0.000000	-0.004883	-0.006378
0.000000	-0.010986	-0.006683
0.000000	-0.004883	-0.005096
0.000000	0.001221	-0.006378
0.000000	0.001221	-0.004761
0.000000	-0.010986	-0.006683
0.000000	0.001221	-0.006378
0.000000	0.007935	-0.004120
0.000000	-0.004883	-0.006042
0.000000	0.007935	-0.006042
0.000000	-0.004883	-0.006683
0.000000	-0.004883	-0.005737
0.000000	-0.010986	-0.005096
0.000000	-0.004883	-0.002533
0.000000	0.001221	-0.002869
0.000000	-0.004883	-0.004120
0.000000	0.001221	-0.005737
0.000000	0.001221	-0.002533
0.000000	-0.010986	-0.004456
0.000000	0.020752	-0.005096
0.000000	-0.004883	-0.007629
0.000000	0.007935	-0.007965
0.000000	0.001221	-0.005402
0.000000	-0.010986	-0.004761
0.000000	-0.017700	-0.006042
0.000000	-0.004883	-0.004761
0.000000	-0.010986	-0.006683
0.000000	-0.004883	-0.004761
0.000000	-0.010986	-0.004456
0.000000	-0.004883	-0.004120
0.000000	-0.004883	-0.004761
0.000000	-0.010986	-0.004761
0.000000	0.001221	-0.003815
0.000000	0.001221	-0.006989
0.000000	0.007935	-0.005402
0.000000	-0.004883	-0.004120
0.000000	-0.017700	-0.007629
0.000000	0.001221	-0.004761
0.000000	-0.004883	-0.005096
0.000000	-0.004883	-0.005737
0.000000	0.001221	-0.005737
0.000000	0.001221	-0.007324
0.000000	-0.004883	-0.005402
0.000000	0.001221	-0.005737
0.000000	0.007935	-0.006378
0.000000	0.001221	-0.004120
0.000000	-0.004883	-0.005096
0.000000	-0.010986	-0.003815
0.000000	-0.004883	-0.003815
0.000000	0.007935	-0.005096
0.000000	-0.017700	-0.003510
0.000000	-0.004883	-0.007324
0.000000	-0.004883	-0.006378
0.000000	-0.017700	-0.005402
0.000000	-0.004883	-0.007324
0.000000	-0.017700	-0.007324
0.000000	-0.017700	-0.005096
0.000000	-0.017700	-0.007629
0.000000	0.001221	-0.006042
0.000000	-0.004883	-0.006042
0.000000	0.007935	-0.004456
0.000000	-0.004883	-0.006378
0.000000	-0.004883	-0.001282
0.000000	0.020752	-0.003174
0.000000	0.014038	-0.004120
0.000000	-0.004883	-0.005096
0.000000	-0.004883	-0.002228
0.000000	-0.017700	-0.003815
0.000000	-0.004883	-0.003815
0.000000	-0.004883	-0.006042
0.000000	0.007935	-0.004761
0.000000	0.007935	-0.007965
0.000000	0.001221	-0.003510
0.000000	0.001221	-0.008270
0.000000	0.020752	-0.007324
0.000000	-0.004883	-0.006989
0.000000	0.001221	-0.005402
0.000000	-0.004883	-0.006042
0.000000	-0.010986	-0.003510
0.000000	-0.004883	-0.004761
0.000000	0.001221	-0.004761
0.000000	0.001221	-0.004456
0.000000	-0.004883	-0.003510
0.000000	-0.004883	-0.003510
0.000000	-0.004883	-0.003815
0.000000	-0.004883	-0.007629
0.000000	-0.004883	-0.003815
0.000000	-0.010986	-0.005737
0.000000	-0.017700	-0.004761
0.000000	0.001221	-0.005737
0.000000	0.001221	-0.005737
0.000000	-0.004883	-0.007324
0.000000	-0.004883	-0.006042
0.000000	0.007935	-0.005737
0.000000	-0.004883	-0.006042
0.000000	-0.010986	-0.006683
0.000000	0.001221	-0.003510
0.000000	-0.004883	-0.006042
0.000000	-0.004883	-0.002533
0.000000	-0.004883	-0.004456
0.000000	0.001221	-0.005096
0.000000	0.007935	-0.007629
0.000000	-0.010986	-0.003174
0.000000	-0.004883	-0.004761
0.000000	-0.004883	-0.004761
0.000000	-0.004883	-0.006683
0.000000	-0.017700	-0.003815
0.000000	0.014038	-0.005737
0.000000	-0.010986	-0.004456
0.000000	0.001221	-0.006989
0.000000	0.001221	-0.003815
0.000000	-0.004883	-0.005737
0.000000	-0.010986	-0.004120
0.000000	-0.004883	-0.004761
0.000000	0.001221	-0.003510
0.000000	-0.010986	-0.006042
0.000000	-0.004883	-0.005402
0.000000	-0.004883	-0.007324
0.000000	-0.004883	-0.005096
0.000000	0.001221	-0.005737
0.000000	-0.010986	-0.005402
0.000000	0.007935	-0.005096
0.000000	-0.004883	-0.005402
0.000000	-0.004883	-0.005737
0.000000	-0.010986	-0.005737
0.000000	0.007935	-0.006683
0.000000	-0.010986	-0.003510
0.000000	0.007935	-0.004761
0.000000	-0.017700	-0.003510
0.000000	0.001221	-0.003174
0.000000	-0.004883	-0.006989
0.000000	-0.004883	-0.004120
0.000000	-0.010986	-0.003174
0.000000	0.007935	-0.004456
0.000000	-0.004883	-0.006042
0.000000	0.001221	-0.007324
0.000000	-0.004883	-0.005402
0.000000	-0.017700	-0.006378
0.000000	-0.004883	-0.006042
0.000000	-0.004883	-0.005096
0.000000	0.001221	-0.005096
0.000000	-0.004883	-0.004456
0.000000	-0.017700	-0.005402
0.000000	-0.004883	-0.005096
0.000000	-0.010986	-0.003815
0.000000	-0.004883	-0.005402
0.000000	-0.004883	-0.002533
0.000000	-0.004883	-0.005737
0.000000	-0.004883	-0.003815
0.000000	0.001221	-0.004120
0.000000	0.001221	-0.007629
0.000000	-0.004883	-0.003815
0.000000	-0.004883	-0.006378
0.000000	-0.010986	-0.005402
0.000000	0.001221	-0.007629
0.000000	0.007935	-0.007629
0.000000	-0.004883	-0.005096
0.000000	-0.004883	-0.006989
0.000000	-0.004883	-0.004761
0.000000	-0.004883	-0.004120
0.000000	-0.004883	-0.005737
0.000000	0.001221	-0.003815
0.000000	0.001221	-0.005402
0.000000	-0.004883	-0.004456
0.000000	-0.004883	-0.003815
0.000000	-0.017700	-0.006378
0.000000	-0.004883	-0.004456
0.000000	-0.010986	-0.006683
0.000000	-0.004883	-0.006683
0.000000	-0.004883	-0.006378
0.000000	0.001221	-0.007629
0.000000	-0.004883	-0.007324
0.000000	-0.010986	-0.006378
0.000000	0.001221	-0.006042
0.000000	0.001221	-0.006683
0.000000	-0.004883	-0.007629
0.000000	0.001221	-0.003510
0.000000	-0.004883	-0.004120
0.000000	0.001221	-0.006378
0.000000	0.001221	-0.002533
0.000000	0.001221	-0.006042
0.000000	-0.004883	-0.003174
0.000000	-0.004883	-0.004456
0.000000	-0.017700	-0.004456
0.000000	0.001221	-0.005737
0.000000	-0.004883	-0.006989
0.000000	-0.017700	-0.004761
0.000000	-0.004883	-0.003815
0.000000	0.007935	-0.007629
0.000000	-0.017700	-0.006989
0.000000	-0.004883	-0.006989
0.000000	-0.004883	-0.006042
0.000000	-0.010986	-0.004761
0.000000	-0.004883	-0.006042
0.000000	-0.004883	-0.004120
0.000000	-0.004883	-0.005402
0.000000	-0.004883	-0.003815
0.000000	0.007935	-0.003174
0.000000	-0.004883	-0.003815
0.000000	-0.010986	-0.002533
0.000000	-0.004883	-0.003815
0.000000	0.007935	-0.005402
0.000000	-0.010986	-0.003815
0.000000	0.007935	-0.006042
0.000000	0.007935	-0.005402
0.000000	-0.004883	-0.005402
0.000000	0.001221	-0.006378
0.000000	0.007935	-0.006042
0.000000	-0.004883	-0.006683
0.000000	-0.004883	-0.002228
0.000000	-0.010986	-0.005096
0.000000	0.014038	-0.005402
0.000000	-0.017700	-0.003815
0.000000	-0.004883	-0.003815
0.000000	-0.004883	-0.005096
0.000000	0.001221	-0.006042
0.000000	-0.010986	-0.003815
0.000000	-0.004883	-0.003510
0.000000	-0.004883	-0.004456
0.000000	0.001221	-0.007324
0.000000	-0.004883	-0.004120
0.000000	0.007935	-0.005096
0.000000	-0.004883	-0.004761
0.000000	-0.010986	-0.005402
0.000000	0.014038	-0.005096
0.000000	0.007935	-0.006683
0.000000	0.001221	-0.004761
0.000000	-0.004883	-0.006683
0.000000	0.007935	-0.004456
0.000000	0.001221	-0.006042
0.000000	-0.004883	-0.001892
0.000000	-0.004883	-0.004761
0.000000	0.007935	-0.005096
0.000000	0.001221	-0.005096
0.000000	-0.010986	-0.005096
0.000000	0.001221	-0.004456
0.000000	-0.010986	-0.005737
0.000000	-0.017700	-0.006042
0.000000	-0.004883	-0.005096
0.000000	-0.010986	-0.006683
0.000000	0.007935	-0.004456
0.000000	0.001221	-0.004761
0.000000	-0.010986	-0.004120
0.000000	-0.010986	-0.005096
0.000000	0.026855	-0.004456
0.000000	0.007935	-0.006378
0.000000	0.001221	-0.004456
0.000000	-0.004883	-0.003815
0.000000	-0.004883	-0.004761
0.000000	0.001221	-0.006042
0.000000	-0.004883	-0.005096
0.000000	-0.010986	-0.008911
0.000000	-0.017700	-0.006042
0.000000	-0.004883	-0.006042
0.000000	0.001221	-0.006378
0.000000	-0.004883	-0.004761
0.000000	-0.004883	-0.005737
0.000000	-0.010986	-0.005402
0.000000	0.001221	-0.004456
0.000000	-0.004883	-0.005096
0.000000	-0.017700	-0.004120
0.000000	-0.017700	-0.003815
0.000000	-0.017700	-0.003815
0.000000	0.001221	-0.006378
0.000000	-0.010986	-0.004761
0.000000	-0.004883	-0.003174
0.000000	-0.004883	-0.004761
0.000000	-0.004883	-0.004456
0.000000	-0.004883	-0.006683
0.000000	-0.004883	-0.008606
0.000000	-0.010986	-0.006378
0.000000	-0.004883	-0.006683
0.000000	-0.010986	-0.004761
0.000000	0.001221	-0.003815
0.000000	-0.004883	-0.006989
0.000000	-0.010986	-0.004761
0.000000	0.014038	-0.005402
0.000000	0.001221	-0.004120
0.000000	0.014038	-0.004761
0.000000	-0.010986	-0.002869
0.000000	-0.017700	-0.002533
0.000000	-0.017700	-0.005402
0.000000	0.001221	-0.004120
0.000000	-0.004883	-0.002533
0.000000	0.014038	-0.007629
0.000000	-0.010986	-0.006989
0.000000	-0.010986	-0.006378
0.000000	-0.004883	-0.006042
0.000000	0.001221	-0.006042
0.000000	-0.004883	-0.007324
0.000000	-0.010986	-0.005402
0.000000	-0.004883	-0.005096
0.000000	0.007935	-0.007324
0.000000	-0.004883	-0.004761
0.000000	0.001221	-0.005737
0.000000	-0.004883	-0.002869
0.000000	-0.017700	-0.003815
0.000000	-0.004883	-0.003510
0.000000	0.001221	-0.004120
0.000000	-0.004883	-0.006378
0.000000	0.007935	-0.004761
0.000000	-0.010986	-0.006378
0.000000	0.007935	-0.008911
0.000000	0.001221	-0.006378
0.000000	-0.004883	-0.008606
0.000000	0.001221	-0.006378
0.000000	-0.010986	-0.005402
0.000000	0.014038	-0.005402
0.000000	0.001221	-0.005096
0.000000	-0.004883	-0.007324
0.000000	-0.004883	-0.002533
0.000000	-0.004883	-0.004456
0.000000	0.020752	-0.005737
0.000000	-0.004883	-0.002533
0.000000	0.001221	-0.004456
0.000000	-0.010986	-0.003510
0.000000	-0.010986	-0.006378
0.000000	0.001221	-0.006042
0.000000	-0.004883	-0.006042
0.000000	-0.004883	-0.006042
0.000000	0.001221	-0.004761
0.000000	0.014038	-0.005402
0.000000	-0.004883	-0.006989
0.000000	-0.004883	-0.004456
0.000000	-0.004883	-0.006042
0.000000	-0.010986	-0.004761
0.000000	-0.010986	-0.005096
0.000000	-0.004883	-0.004761
0.000000	0.007935	-0.006042
0.000000	-0.004883	-0.006378
0.000000	-0.004883	-0.003815
0.000000	0.001221	-0.003174
0.000000	0.007935	-0.004456
0.000000	-0.004883	-0.004456
0.000000	-0.017700	-0.005402
0.000000	-0.004883	-0.005096
0.000000	0.001221	-0.006378
0.000000	-0.004883	-0.004456
0.000000	0.007935	-0.005096
0.000000	-0.004883	-0.006042
0.000000	0.001221	-0.003510
0.000000	-0.004883	-0.004120
0.000000	0.001221	-0.006378
0.000000	-0.017700	-0.004120
0.000000	-0.004883	-0.004761
0.000000	-0.023804	-0.003815
0.000000	-0.010986	-0.005096
0.000000	0.001221	-0.004456
0.000000	0.001221	-0.006378
0.000000	-0.004883	-0.004456
0.000000	0.001221	-0.004120
0.000000	-0.010986	-0.005096
0.000000	0.007935	-0.006042
0.000000	-0.010986	-0.004761
0.000000	-0.017700	-0.004761
0.000000	-0.004883	-0.003815
0.000000	-0.004883	-0.004456
0.000000	-0.004883	-0.005096
0.000000	-0.010986	-0.004761
0.000000	0.001221	-0.003815
0.000000	0.001221	-0.002869
0.000000	-0.004883	-0.004761
0.000000	0.007935	-0.005096
0.000000	-0.010986	-0.004456
0.000000	-0.010986	-0.004456
0.000000	0.007935	-0.004456
0.000000	-0.004883	-0.005402
0.000000	-0.004883	-0.006989
0.000000	-0.004883	-0.005402
0.000000	-0.010986	-0.006378
0.000000	0.007935	-0.006378
0.000000	0.001221	-0.004120
0.000000	-0.010986	-0.005402
0.000000	-0.010986	-0.006378
0.000000	-0.010986	-0.004456
0.000000	0.007935	-0.003815
0.000000	0.001221	-0.004761
0.000000	0.007935	-0.003510
0.000000	0.014038	-0.006042
0.000000	-0.004883	-0.004120
0.000000	-0.004883	-0.003174
0.000000	0.001221	-0.005096
0.000000	-0.004883	-0.007629
0.000000	0.001221	-0.006989
0.000000	0.007935	-0.006042
0.000000	-0.004883	-0.006683
0.000000	-0.010986	-0.004761
0.000000	0.007935	-0.004761
0.000000	0.001221	-0.006042
0.000000	0.001221	-0.004120
0.000000	0.007935	-0.004761
0.000000	-0.010986	-0.003815
0.000000	-0.004883	-0.005402
0.000000	-0.010986	-0.005737
0.000000	-0.004883	-0.003174
0.000000	-0.004883	-0.004456
0.000000	-0.004883	-0.003510
0.000000	0.001221	-0.003510
0.000000	-0.004883	-0.003815
0.000000	-0.004883	-0.002533
0.000000	-0.004883	-0.006378
0.000000	0.001221	-0.006042
0.000000	0.007935	-0.005737
0.000000	0.007935	-0.006683
0.000000	-0.010986	-0.003815
0.000000	-0.004883	-0.006378
0.000000	0.014038	-0.006378
0.000000	-0.004883	-0.004456
0.000000	0.001221	-0.004761
0.000000	-0.004883	-0.003510
0.000000	-0.004883	-0.004456
0.000000	-0.004883	-0.001587
0.000000	0.007935	-0.003174
0.000000	-0.004883	-0.006378
0.000000	-0.004883	-0.003174
0.000000	-0.017700	-0.006989
0.000000	-0.010986	-0.006378
0.000000	0.007935	-0.006042
0.000000	-0.004883	-0.007324
0.000000	-0.004883	-0.005737
0.000000	0.007935	-0.003815
0.000000	0.001221	-0.005096
0.000000	0.014038	-0.005096
0.000000	-0.004883	-0.006989
0.000000	-0.010986	-0.004456
0.000000	0.007935	-0.004120
0.000000	0.001221	-0.005096
0.000000	-0.004883	-0.004120
0.000000	0.007935	-0.003510
0.000000	-0.004883	-0.002533
0.000000	0.001221	-0.003174
0.000000	-0.004883	-0.004456
0.000000	-0.004883	-0.005096
0.000000	0.001221	-0.007629
0.000000	-0.004883	-0.005096
0.000000	0.001221	-0.006378
0.000000	0.001221	-0.005096
0.000000	-0.017700	-0.006683
0.000000	-0.004883	-0.005402
0.000000	-0.004883	-0.004456
0.000000	-0.010986	-0.004120
0.000000	0.001221	-0.004761
0.000000	0.007935	-0.003510
0.000000	-0.010986	-0.006042
0.000000	-0.004883	-0.003815
0.000000	-0.004883	-0.002869
0.000000	-0.004883	-0.005402
0.000000	0.001221	-0.003815
0.000000	-0.017700	-0.003510
0.000000	-0.010986	-0.004120
0.000000	-0.017700	-0.006378
0.000000	-0.004883	-0.004761
0.000000	0.007935	-0.005096
0.000000	-0.017700	-0.006378
0.000000	-0.004883	-0.005737
0.000000	0.007935	-0.005096
0.000000	-0.010986	-0.007629
0.000000	0.001221	-0.004456
0.000000	0.001221	-0.006989
0.000000	-0.004883	-0.005096
0.000000	0.001221	-0.002533
0.000000	-0.004883	-0.003510
0.000000	-0.004883	-0.004761
0.000000	0.001221	-0.006378
0.000000	-0.004883	-0.003510
0.000000	-0.004883	-0.004120
0.000000	-0.010986	-0.007324
0.000000	-0.004883	-0.005402
0.000000	-0.004883	-0.006683
0.000000	0.001221	-0.003815
0.000000	-0.017700	-0.005402
0.000000	0.001221	-0.003815
0.000000	-0.004883	-0.004456
0.000000	0.001221	-0.004456
0.000000	0.014038	-0.004456
0.000000	-0.010986	-0.004456
0.000000	-0.010986	-0.005402
0.000000	0.001221	-0.005737
0.000000	-0.023804	-0.003510
0.000000	-0.004883	-0.003510
0.000000	0.001221	-0.005096
0.000000	0.007935	-0.006378
0.000000	0.001221	-0.006989
0.000000	0.001221	-0.005402
0.000000	-0.004883	-0.006683
0.000000	-0.004883	-0.005737
0.000000	-0.004883	-0.005402
0.000000	0.001221	-0.004120
0.000000	-0.004883	-0.003815
0.000000	-0.004883	-0.003174
0.000000	-0.004883	-0.004456
0.000000	-0.017700	-0.004120
0.000000	-0.010986	-0.006378
0.000000	-0.010986	-0.005096
0.000000	0.020752	-0.002869
0.000000	0.020752	-0.004456
0.000000	0.014038	-0.005096
0.000000	-0.017700	-0.006042
0.000000	-0.017700	-0.007629
0.000000	-0.017700	-0.007324
0.000000	-0.017700	-0.004456
0.000000	-0.030518	-0.005096
0.000000	-0.010986	-0.006042
0.000000	0.014038	-0.006042
0.000000	-0.004883	-0.004761
0.000000	-0.004883	-0.005096
0.000000	-0.004883	-0.003815
0.000000	-0.004883	-0.007629
0.000000	-0.004883	-0.004761
0.000000	-0.010986	-0.003510
0.000000	0.001221	-0.001892
0.000000	-0.004883	-0.005096
0.000000	0.014038	-0.005096
0.000000	0.007935	-0.004120
0.000000	-0.010986	-0.005096
0.000000	-0.004883	-0.006042
0.000000	-0.010986	-0.006042
0.000000	0.007935	-0.008606
0.000000	-0.004883	-0.004456
0.000000	-0.004883	-0.005096
0.000000	0.001221	-0.003510
0.000000	-0.010986	-0.004761
0.000000	0.007935	-0.004120
0.000000	0.014038	-0.003510
0.000000	0.001221	-0.003510
0.000000	0.001221	-0.004456
0.000000	-0.017700	-0.004120
0.000000	0.007935	-0.005737
0.000000	-0.004883	-0.003510
0.000000	-0.004883	-0.007629
0.000000	-0.010986	-0.005096
0.000000	-0.004883	-0.005096
0.000000	-0.004883	-0.006683
0.000000	0.007935	-0.006683
0.000000	0.007935	-0.005096
0.000000	-0.004883	-0.005737
